400 5000
121 38 30
315 71 15
296 80 3
248 160 38
181 229 45
358 188 33
39 259 11
377 306 44
179 202 41
253 263 49
381 12 17
115 94 1
219 326 26
390 214 47
381 42 23
362 133 41
127 311 16
168 397 5
56 397 16
332 348 27
216 347 36
212 52 46
172 189 20
227 33 24
349 92 38
56 265 34
147 301 6
210 327 11
142 151 36
220 230 16
179 48 8
200 168 10
327 245 39
338 89 30
15 272 6
295 240 26
108 343 17
243 128 13
22 181 11
364 82 6
122 59 41
221 165 36
47 218 10
201 154 39
77 101 19
197 210 39
189 102 15
202 233 23
169 152 9
168 85 10
0 390 32
225 392 47
143 131 39
184 16 29
296 123 12
319 216 7
229 183 4
281 320 20
337 140 29
102 128 32
144 30 41
113 4 4
38 81 6
137 326 45
150 259 47
236 352 12
269 115 40
110 365 13
2 318 28
231 338 28
8 65 25
90 66 3
99 25 12
310 319 1
132 9 36
6 6 45
291 73 47
301 246 5
368 215 41
179 259 39
384 156 16
64 363 15
184 328 30
60 183 20
40 176 7
361 13 8
279 67 30
142 78 4
96 134 33
9 256 43
292 33 40
11 287 6
346 21 25
114 375 13
173 291 28
396 77 40
171 392 31
206 313 2
177 258 4
53 119 6
374 282 28
105 333 19
169 269 25
54 71 45
98 223 11
240 56 27
154 203 13
384 181 14
159 293 12
222 342 44
88 71 24
51 142 35
116 195 26
272 115 37
151 339 46
315 253 5
399 251 42
235 170 4
160 177 2
31 143 29
103 280 45
311 309 46
265 106 6
281 85 25
31 222 24
373 284 31
156 294 23
69 227 32
333 234 48
297 274 7
361 78 11
309 281 31
274 37 47
96 272 32
298 299 37
287 0 23
396 181 19
43 126 20
112 389 12
365 64 3
270 184 34
138 127 9
117 250 18
128 118 23
275 304 9
274 17 37
351 127 7
303 32 21
250 28 3
89 214 26
232 102 26
302 202 11
247 21 45
257 314 28
282 218 32
121 28 13
151 214 31
346 19 21
101 397 6
264 271 5
215 301 28
243 187 47
260 310 38
36 138 46
102 74 42
78 188 6
397 61 25
83 45 47
153 58 9
108 221 30
374 110 3
253 149 19
142 140 26
38 34 42
349 383 40
21 9 40
262 52 5
75 116 8
376 268 13
46 133 38
362 197 40
240 23 32
113 149 20
62 152 38
333 9 39
42 178 15
383 200 13
44 110 48
306 326 36
158 227 47
279 398 2
87 74 34
123 215 12
343 193 38
39 83 22
89 329 19
6 106 15
130 304 42
24 398 37
380 264 35
71 133 4
176 124 43
379 158 45
152 322 45
98 330 14
394 215 4
360 296 4
142 240 23
209 205 22
279 205 46
324 384 9
365 111 31
187 195 40
38 362 1
380 341 21
237 152 26
27 147 38
124 324 49
257 288 46
16 198 31
379 367 8
332 116 30
257 106 25
47 267 15
245 280 13
39 323 3
268 318 49
380 78 22
350 291 46
390 120 13
175 296 10
240 47 28
154 74 5
338 123 25
11 172 19
193 59 13
230 91 38
81 59 25
140 391 23
395 203 37
287 106 25
61 101 5
284 282 14
59 67 18
277 313 2
363 248 21
115 363 2
162 207 28
17 39 40
224 332 41
272 386 29
376 220 36
90 148 42
184 148 11
295 209 34
306 386 13
147 326 10
364 266 18
247 395 22
362 79 9
193 352 6
224 13 46
240 258 20
140 218 45
292 309 3
28 375 27
54 89 16
70 228 47
44 105 30
379 43 4
22 111 34
39 205 40
155 155 4
78 391 1
242 393 38
343 183 22
341 53 6
210 393 14
386 73 26
320 91 5
131 13 7
272 375 2
267 361 48
275 250 45
361 297 23
304 7 32
63 395 30
124 179 35
62 320 24
36 3 44
25 77 27
13 149 12
228 198 4
78 389 24
393 352 12
140 1 2
241 320 29
148 51 7
75 22 12
117 37 18
